Name,Title,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Custom Menu Item Action,Custom Menu Item Text,Description,Eigenvector Centrality,Favorites,Followed,Followers,ID,Image File,In-Degree,Joined Twitter Date (UTC),Label,Layout Order,Location,louvain,Opacity,Out-Degree,PageRank,Reciprocated Vertex Pair Ratio,Shape,Size,Time Zone,Time Zone UTC Offset (Seconds),Tooltip,Tweets,Web,X,Y
ForeverReagan,ForeverReagan,35.112816,0.000514,0.196969696969697,http://twitter.com/ForeverReagan,Open Twitter Page for This Person,"Independent Conservative American Patriot. I will support and defend the Constitution of the United States against all enemies, foreign and domestic.",2.7E-05,112,1169,863,396,http://a0.twimg.com/profile_images/3077740484/c59e0c2fe621294003015569edf43223_normal.jpeg,11,7/25/2009 3:00:47 PM,ForeverReagan,25.0205398603579,"The Woodlands, Texas",1.0,99.927923965212,13,0.624134,0.833333333333333,Image,67.0341444523333,Central Time (US & Canada),-21600,"ForeverReagan

RT @JC7109: Fun Facts.... #my2k
#tcot #mapoli #p2 http://t.co/i7EX2E3s",5672,http://www.reaganfoundation.org/,2341.26928710938,7221.09228515625
r0yce1,r0yce1,185.967719,0.000521,0.0666666666666667,http://twitter.com/r0yce1,Open Twitter Page for This Person,Brutality is unleashed wherever impunity reigns. #NDAA #drones #fracking #ClimateChange #Jingoism #PartisanIdiocy,0.00017,2616,717,987,301,http://a0.twimg.com/profile_images/3079518538/7e9551fa5a0cf5d2b7829fd555b84aee_normal.jpeg,7,8/3/2009 4:10:09 PM,r0yce1,28.4719268159597,Obama's NDAA prisons,4.0,99.9175677330987,3,0.480298,0.333333333333333,Image,74.9417156135029,Eastern Time (US & Canada),-18000,"r0yce1

Dec. 2011: DEA launders millions
in Mexican drug $ http://t.co/Z2JjGN1Y
#p2 #tlot #tcot #PJNET #Ponder
@whitehouse #My2k H/t @RalphHornsby",16943,http://m.whitehouse.gov/contact/write-or-call,9493.837890625,1765.99963378906
Kerryepp,Kerryepp,3589.359844,0.00064,0.115686274509804,http://twitter.com/Kerryepp,Open Twitter Page for This Person,“Silence in the face of evil is itself evil: GOD will not hold us innocent. Not to speak is to speak. Not to act is to act.”—Bonhoeffer,0.000217,958,8676,8665,50,http://a0.twimg.com/profile_images/2831158024/470f36e4b55c5431e60c0fc1882f0266_normal.png,77,11/22/2011 5:30:10 PM,Kerryepp,242.179580405563,,1.0,99.2763165220877,37,3.266906,0.317647058823529,Image,564.573420254308,Central Time (US & Canada),-21600,"Kerryepp

MT “@ken24xavier: Al Gore cry's
about BUSH TAX CUT then rams sale
through to TAKE ADVANTAGE of Bush
Tax cuts” #my2k #tcot #LNYHBT",30913,,2472.64575195313,5572.99072265625
KarenJourden,KarenJourden,504.039328,0.000614,0.184615384615385,http://twitter.com/KarenJourden,Open Twitter Page for This Person,Passionate about the truth of American #history and an informed public. #Author Why I Am an #Independent #Conservative #CivicDuty #Constitution,9.1E-05,30,2005,1273,217,http://a0.twimg.com/profile_images/2832667178/f0e3fd37cb716ba8eb8dfab245a5d36f_normal.png,16,4/5/2012 2:32:09 PM,KarenJourden,36.4323838264607,"CO, USA",1.0,99.8936815848376,27,1.158016,0.576923076923077,Image,93.1801458723294,Mountain Time (US & Canada),-25200,"KarenJourden

RT @Kerryepp: "If you tax people
who work and pay people who don't,
do not be surprised if you find
a lot of people not working"-Arthur
Laffer #tcot #my2k",7016,http://karenjourden.authorsxpress.com,3052.12817382813,6077.74462890625
CollinsOnTop,CollinsOnTop,1355.100012,0.000556,0.144444444444444,http://twitter.com/CollinsOnTop,Open Twitter Page for This Person,I Exceed Expectations And Always Win. SMU Pre-Law Student. Proud Republican. Successful.,2.7E-05,50,1396,1465,115,http://a0.twimg.com/profile_images/3016642642/1c08756261f0e2d641ffe1b62ebc8452_normal.jpeg,9,10/4/2010 4:06:01 AM,CollinsOnTop,41.7764668544894,"Highland Park, TX",1.0,99.8776461286623,10,0.710488,0.7,Image,105.424127025108,Central Time (US & Canada),-21600,"CollinsOnTop

RT @Kerryepp: "If you tax people
who work and pay people who don't,
do not be surprised if you find
a lot of people not working"-Arthur
Laffer #tcot #my2k",62546,http://www.facebook.com/people/Deadtrick-GreatestEva-Collins/100000672377559,1659.45568847656,3627.7666015625
THEjoereames,THEjoereames,4.848147,0.000519,0,http://twitter.com/THEjoereames,Open Twitter Page for This Person,"Average guy fighting his way through life...also, a daywalking ginger.  Infidel. Est'd 1973",1.2E-05,125,176,67,491,http://a0.twimg.com/profile_images/2611933423/image_normal.jpg,3,4/1/2011 12:14:58 AM,THEjoereames,2.86486230665583,"StL metro area, the Lou!",1.0,99.9944042939388,3,0.338176,0.333333333333333,Image,16.2726392564384,Central Time (US & Canada),-21600,"THEjoereames

RT @JC7109: The new reality....
#my2k #mapoli #tcot http://t.co/APrV1mIV",2160,,4145.3984375,5891.88037109375
pammeech,pammeech,6.674514,0.000577,0.303571428571429,http://twitter.com/pammeech,Open Twitter Page for This Person,,3.9E-05,57,396,245,476,http://a0.twimg.com/profile_images/2347947226/467ve0x4dugdw7vkltj9_normal.jpeg,7,5/16/2012 3:57:23 PM,pammeech,7.81927261389071,,1.0,99.9795380897763,9,0.469477,0.75,Image,27.623830116827,,,"pammeech

RT @JC7109: Obama Fun Facts.....
#my2k #tcot #mapoli http://t.co/ZkBMoDSA",5140,,1560.12841796875,4789.37939453125
